region	name	record_city	site_says
QC	Gracie Barra Boucherville	Boucherville	540 Rue D'Avaugour Boucherville matches
QC	Gracie Barra Brossard	Brossard	7565 Taschereau Blvd Brossard listed
QC	Gracie Barra Kirkland	Montreal	Kirkland QC, West Island of Montreal
QC	Gracie Barra Laval	Laval	Own site, Bd Curé-Labelle Laval
QC	Gracie Barra Montreal-Ouest	Montreal	address matches, serves Montreal West
QC	Gracie Barra Saint-Laurent	Montreal	Ville Saint-Laurent Montreal address matches
QC	Gracie Jiu-Jitsu St-Nicolas	Lévis	address matches, St-Nicolas borough of Lévis
QC	Groupe Butactik	Notre-Dame-du-Mont-Carmel	Quebec group, Notre-Dame-du-Mont-Carmel BJJ listed
QC	Jiu-Jitsu Saguenay	Saguenay	Jonquière-Arvida borough of Saguenay, address matches
QC	Kuzushi Fight Club	Saint-Jérôme	BJJ club, rue Melancon Saint-Jerome QC
QC	LV Jiu-Jitsu	Saint-Mathieu-de-Beloeil	BJJ school, Rue Bernard-Pilon Saint-Mathieu-de-Beloeil listed
QC	Les Mauvais Compagnons	Granby	BJJ kickboxing, rue Saint-Charles Sud Granby
RI	Braman Jiu Jitsu	Warwick	BJJ gym, 24 Quaker Lane Warwick
RI	Coventry Brazilian Jiu Jitsu	Coventry	53 Sandy Bottom Rd Coventry RI
RI	Danny Savery BJJ and Martial Arts Academy	Bristol	655 Metacom Avenue Bristol RI
RI	Kiefer's Martial Arts	Westerly	Karate plus BJJ program, Westerly RI address
SC	Aiken Jiu-Jitsu	Aiken	South Aiken Jiu-Jitsu, Aiken SC BJJ
SC	Alliance Jiu Jitsu Easley	Easley	BJJ academy, Calhoun Memorial Hwy Easley
SC	Beaufort MMA	Beaufort	BJJ and MMA, 2127 Boundary St
SC	Believe Jiu Jitsu	Moncks Corner	BJJ academy, 3514 S Live Oak matches
SC	Black Label Martial Arts	Charleston	BJJ and wrestling, 1850 Wallace School Rd
SC	Divinus Lux Jiu Jitsu	Greenwood	1310 Bypass 72 NE Greenwood SC
SC	FightWorks Academy	Greenville	1200 Woodruff Rd Greenville, matches address
SC	Gracie Barra West Ashley	Charleston	address matches, West Ashley Charleston
SC	Greenville Alliance Jiu Jitsu	Greenville	117 Haywood Rd Greenville
SD	Black Hills Brazilian Jiu-Jitsu	Rapid City	BJJ academy, 3325 W Main Rapid City
SD	Gold Bar Training Center	Rapid City	Jiu jitsu, 2090 Deadwood Ave Rapid City
SK	Ascendant Martial Arts	Regina	BJJ/wrestling, 1171 Winnipeg St Regina matches
SK	Expedition Brazilian Jiu-Jitsu	Regina	1535-B McAra St Regina, matches address
TN	ADG Jiu-Jitsu	Smyrna	555 Almaville Rd, Smyrna TN
TN	Absolute Jiu-Jitsu Academy Bristol	Bristol	107 Cox St, Bristol TN
TN	Cookeville Jiu-Jitsu	Cookeville	Gracie BJJ in Cookeville Tennessee
TN	Crossville MMA	Crossville	2280 Hwy 127 South Crossville TN
TN	Gracie Barra Knoxville	Knoxville	Samuel Braga BJJ rebrand, Knoxville TN
TN	Gracie Jiu-Jitsu Foothills	Seymour	Maryville TN, roughly ten miles away
TN	Kioto Brazilian Jiu-Jitsu Chattanooga	Chattanooga	BJJ school, Lee Hwy Chattanooga TN address
TN	Knoxville Martial Arts Academy	Knoxville	MMA BJJ academy, Chapman Highway Knoxville TN
TN	Leviathan Academy Brazilian Jiu-Jitsu	Cleveland	BJJ academy, Inman Street W Cleveland TN
TN	Lucas Lepri Brazilian Jiu-Jitsu Knoxville	Knoxville	BJJ academy, Sutherland Avenue Knoxville TN
TX	10th Planet El Paso	El Paso	El Paso TX; moved to Pelicano Dr
TX	10th Planet Georgetown	Georgetown	1523 Northwest Blvd Georgetown TX
TX	10th Planet Jiu Jitsu Beaumont	Beaumont	5925 Caswell Rd Beaumont TX matches
TX	10th Planet San Antonio Huebner Oaks	San Antonio	Huebner Oaks 11255 Huebner Rd listed
TX	144 Academy Jiu Jitsu/Self-Defense/Fitness	Dallas	Dallas TX; now 3406 Easy St
TX	360 BJJ	Grand Prairie	830 Mayfield Rd, Grand Prairie matches
TX	5 Elements Studio- Jiu-Jitsu & Fitness	Dallas	2613 N Carroll Ave, Dallas matches
TX	Alliance BJJ Houston	Pearland	BJJ academy, names Pearland south Houston
TX	Aloisio Silva Brazilian Jiu-Jitsu Academy	Arlington	Rebranded Flores Martial Arts, Arlington TX BJJ
TX	Alpha Omega BJJ / jiu jitsu Laredo TX 78041	Laredo	BJJ, 8510 Las Crucas Ave Laredo
TX	Austin Fitness Martial Arts	Austin	Rebrand THE VOID, BJJ MMA East Austin
TX	Austin Martial Arts Academy	Austin	Life Ki-do BJJ, Bee Cave Rd Austin
TX	Brazilian Fight Factory	Austin	BJJ academy, 9607 Research Blvd Austin
TX	Brazilian Top Team North Dallas	Richardson	BJJ academy, 670 N Coit Rd Richardson
TX	Brazilian Top Team Texas	San Antonio	BJJ HQ, 5345 Glen Ridge Dr San Antonio
TX	Cornerstone Jiu Jitsu	Leander	1309 Leander Dr Leander Texas
TX	Cross Collar Jiu Jitsu - An Ed Ramos Affiliate	Seabrook	2114 Seabrook Circle Seabrook TX
TX	Ethos Jiu Jitsu and Martial Arts	Tyler	4703 DC Dr Tyler, BJJ judo
TX	Fight Factory Austin	Austin	9607 Research Blvd Austin, BJJ academy
TX	Fitness Fight Factory	Watauga	North Richland Hills, adjacent to Watauga
TX	Fitness Fight Factory Haslet	Fort Worth	12519 Bus Hwy 287 Fort Worth, BJJ
TX	GB Burleson	Burleson	201 NE Wilshire Blvd Burleson, matches address
TX	GB College Station	College Station	1702 George Bush Dr E matches
TX	GB Cypress	Cypress	15103 Mason Rd, Cypress TX listed
TX	GB Dripping Springs	Austin	Now 261 Frog Pond Ln, Dripping Springs
TX	GB Heights Houston	Houston	Houston Heights; www variant returned empty
TX	GB McKinney	McKinney	7901 Eldorado Pkwy, McKinney TX
TX	GB Pearland	Pearland	3229 E Broadway St, Pearland TX
TX	GB Round Rock	Round Rock	Round Rock, Texas named throughout
TX	GB Westlake	Austin	Westlake named; map at Austin coordinates
TX	Gracie Barra Buda	Buda	2610 Main Street Buda TX confirmed
TX	Gracie Barra Frisco	Frisco	360 Stonebrook Pkwy Frisco TX confirmed
TX	Gracie Barra Texas	Webster	GB Texas HQ Webster, address matches
TX	Gracie Gym Richardson / Brazilian Jiu-Jitsu	Richardson	Richardson Arapaho Rd address confirmed
TX	Gracie Humaita Conroe	Conroe	own Facebook page, Conroe TX address
TX	Gracie Jiu-Jitsu Highland Village	Highland Village	Gracie Barra rebrand, Highland Village confirmed
TX	GracieOne Academy	Dallas	11661 Preston Rd Dallas matches record
TX	Gustavo Machdo Brazilian Jiu-Jitsu - Texas (GMBJJTX)	Bulverde	Host studio BJJ page, Bulverde community
TX	Helio Soneca/ 8ight Limbs Academy	Harlingen	Harlingen TX, moved to Van Buren
TX	Ironside Martial Arts	Bedford	Rebranded Double Five, same Bedford address
TX	John Machado Brazilian Jiu-Jitsu	Allen	111 Central Expy S, Allen
TX	Kingsway Jiu-Jitsu	Austin	Jiu-jitsu academy, North Austin TX address
TX	Legacy Brazilian Jiu Jitsu	Allen	BJJ school, E Stacy Road Allen Texas
TX	Marcelo Garcia Jiu-Jitsu of Dallas	Dallas	BJJ academy, E Mockingbird Lane Dallas TX
TX	Markle Brazilian Jiu-Jitsu	Richmond	Rebranded FightTX, same Crabb River Road Richmond
UT	Agema Jiu Jitsu and MMA	Provo	1200 Towne Centre Blvd Provo matches
UT	Bobby Lawrence Karate Orem	Orem	BJJ classes, 976 S State St Orem
UT	First BJJ	Millcreek	5508 Van Winkle address matches exactly
UT	Fusion Academy	Salt Lake City	Salt Lake City Brazilian jiu-jitsu academy
UT	Fusion MMA and Jiu Jitsu	St. George	Pineview 2746 E 850 N St. George
UT	Fusion MMA and Jiu Jitsu Sunset	St. George	Sunset school 1469 W Sunset Blvd listed
UT	Gracie Barra Layton	Layton	Own site, 70 S Fairfield Layton
UT	Gracie Barra Salt Lake City	Salt Lake City	Salt Lake City address confirmed
UT	J-Crew Jiu-Jitsu	Hyrum	Hyrum Utah address matches exactly
UT	Marangoni BJJ	Salt Lake City	BJJ academy, E 6th Ave Salt Lake City
VA	10th Planet Fredericksburg	Fredericksburg	Fredericksburg VA; now Princess Anne St
VA	Abmar Barbosa JJ Academy	Vienna	8460 Tyco Rd, Vienna VA
VA	American Top Team Ashburn	Ashburn	BJJ/wrestling, 44921 George Washington Blvd matches
VA	Da Firma Training Center	Chesapeake	Chesapeake BJJ academy, Great Bridge area
VA	Dominion BJJ	Manassas	8068 Flannery Ct Manassas VA
VA	Edge Effect Fitness and Martial Arts	Harrisonburg	785 Acorn Drive Harrisonburg VA, judo
VA	Fairfax Jiu Jitsu Academy	Chantilly	4315-B Walney Road Chantilly, matches address
VA	Ferox Jiu-Jitsu	Virginia Beach	2424 Castleton Commerce Way, matches address exactly
VA	Gracie Barra Ashburn, Brazilian Jiu-Jitsu and Self-Defense	Ashburn	22556 Amendola Terrace, Ashburn VA matches
VA	Gracie NOVA at The Fighters Garage	Falls Church	healthy in browser, teaches Gracie Jiu-Jitsu
VA	Gustavo Machado Brazilian Jiu Jitsu Chesapeake	Chesapeake	South Chesapeake VA academy, own site
VA	Impact Martial Arts Academy	Virginia Beach	BJJ and Muay Thai, Virginia Beach named
VA	Iron Sharpens Iron Brazilian Jiu Jitsu Academy	Winchester	Winchester England UK, not Virginia
VA	Kaizen MMA Ashburn	Ashburn	Multi-location brand homepage lists Ashburn address
VT	Brattleboro Jiu-Jitsu	Brattleboro	BJJ school, 55 Marlboro Rd Brattleboro
VT	Granite City MMA	Graniteville	223 Church Hill Rd Graniteville matches
VT	Kingdom Jiu Jitsu	Hardwick	Own site, BJJ gym in Hardwick Vermont
WV	Andrew Pardee Brazilian Jiu-Jitsu Academy	Follansbee	BJJ academy, 134 May Road Follansbee
WV	Arte Suave Jiu Jitsu Academy	Beckley	BJJ/MMA, 321 S Fayette St matches
WV	Black Cat MMA	Morgantown	BJJ and wrestling, 9500 Mall Rd Morgantown
WV	Elite Martial Arts and MMA	Martinsburg	295 Monroe Street Martinsburg, BJJ MMA
WY	Black Label BJJ of Cheyenne	Cheyenne	BJJ school, 1121 Old Town Ln Cheyenne
WY	D's Jiu-Jitsu Academy	Casper	2000 Casper St Casper WY
WY	Duality BJJ	Green River	142 E Flaming Gorge Way Green River
WY	Jackson Hole MMA	Jackson	3580 South Park Drive, Jackson WY
